handle,date,message
bob,09/25/2022,Hello World!
blakeg,09/30/2022,I just ate the best meal ever!
muskrat,10/01/2022,I should by tooter. maybe 1 trillion dollars?
darthvader,10/05/2022,Another person died? Gosh i'm sick of people dying. #FindTheCure
darthvader,10/10/2022,what is wrong with the world these days?
bananaman,10/15/2022,smoother me in peanut butter baby!
fraggle,10/20/2022,just got my first paycheck!
bananaman,10/31/2022,I'm free to be myself on halloween! #powerofcostume
blakeg,11/01/2022,new month already?!
blakeg,11/06/2022,I just ate the best meal ever!
blakeg,11/08/2022,it's been a crazy semester right?!
